,molecule_chembl_id,canonical_smiles,standard_value,standard_units,pchembl_value,ligand_efficiency,chirality,parent_chembl_id,cx_logd,alogp,hba,hbd,mw_freebase,full_mwt,num_ro5_violations,psa,heavy_atoms,np_likeness_score,clean_smiles,MW,LogP,NumHDonors,NumHAcceptors
32,CHEMBL3670864,CCC(=O)NC(=O)N(C)CC(=O)N[C@@H](Cc1ccc2ccccc2c1)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1,0.878,nM,9.06,"{'bei': '12.74', 'le': '0.25', 'lle': '6.04', 'sei': '4.74'}",-1,CHEMBL3670864,2.44,3.02,8,5,710.9,710.9,1,191.24,50,-0.84,CCC(=O)NC(=O)N(C)CC(=O)N[C@@H](Cc1ccc2ccccc2c1)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1,710.8980000000003,3.021600000000002,5.0,8.0
33,CHEMBL3670865,CC(C)CN([C@H](CO)CCCCNC(=O)[C@H](Cc1ccc2ccccc2c1)NCc1ccccn1)S(=O)(=O)c1ccc(N)cc1,5.898,nM,8.23,"{'bei': '13.02', 'le': '0.25', 'lle': '3.72', 'sei': '5.98'}",-1,CHEMBL3670865,3.89,4.51,7,4,631.84,631.84,1,137.65,45,-0.88,CC(C)CN([C@H](CO)CCCCNC(=O)[C@H](Cc1ccc2ccccc2c1)NCc1ccccn1)S(=O)(=O)c1ccc(N)cc1,631.843,4.512200000000003,4.0,7.0
34,CHEMBL3670866,CC(C)CN([C@H](CO)CCCCNC(=O)[C@@H](NS(=O)(=O)c1cccs1)C(c1ccccc1)c1ccccc1)S(=O)(=O)c1ccc(N)cc1,0.601,nM,9.22,"{'bei': '12.93', 'le': '0.26', 'lle': '4.42', 'sei': '5.80'}",-1,CHEMBL3670866,5.01,4.8,8,4,712.96,712.96,1,158.9,48,-1.05,CC(C)CN([C@H](CO)CCCCNC(=O)[C@@H](NS(=O)(=O)c1cccs1)C(c1ccccc1)c1ccccc1)S(=O)(=O)c1ccc(N)cc1,712.9600000000002,4.803600000000004,4.0,8.0
35,CHEMBL3670867,CN[C@H](C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1)C(c1ccccc1)C1C=CC=CC1,0.436,nM,9.36,"{'bei': '16.06', 'le': '0.31', 'lle': '5.29', 'sei': '7.50'}",-1,CHEMBL3670867,2.33,4.07,6,4,582.81,582.81,1,124.76,41,-0.1,CN[C@H](C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1)C(c1ccccc1)C1C=CC=CC1,582.8110000000001,4.067000000000004,4.0,6.0
36,CHEMBL3670868,CC(C)CN([C@H](CO)CCCCNC(=O)[C@@H](NC(=O)NCC1=CCCN=C1)C(c1ccccc1)c1ccccc1)S(=O)(=O)c1ccc(N)cc1,0.465,nM,9.33,"{'bei': '13.28', 'le': '0.25', 'lle': '4.87', 'sei': '5.61'}",-1,CHEMBL3670868,3.42,4.46,7,5,702.92,702.92,1,166.22,50,-0.52,CC(C)CN([C@H](CO)CCCCNC(=O)[C@@H](NC(=O)NCC1=CCCN=C1)C(c1ccccc1)c1ccccc1)S(=O)(=O)c1ccc(N)cc1,702.9220000000001,4.463700000000004,5.0,7.0
37,CHEMBL3670869,CC(C)CN([C@H](CO)CCCCNC(=O)[C@@H](NC(=O)NCc1ccncc1)C(c1ccccc1)c1ccccc1)S(=O)(=O)c1ccc(N)cc1,0.51,nM,9.29,"{'bei': '13.26', 'le': '0.25', 'lle': '4.63', 'sei': '5.57'}",-1,CHEMBL3670869,3.87,4.66,7,5,700.91,700.91,1,166.75,50,-0.86,CC(C)CN([C@H](CO)CCCCNC(=O)[C@@H](NC(=O)NCc1ccncc1)C(c1ccccc1)c1ccccc1)S(=O)(=O)c1ccc(N)cc1,700.9060000000001,4.658000000000004,5.0,7.0
38,CHEMBL3670900,Cc1ccc(C(=O)N[C@@H](Cc2ccccc2C)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c2ccc(N)cc2)cc1O,0.938,nM,9.03,"{'bei': '14.13', 'le': '0.27', 'lle': '5.10', 'sei': '5.57'}",-1,CHEMBL3670900,4.55,3.93,7,5,638.83,638.83,1,162.06,45,-0.69,Cc1ccc(C(=O)N[C@@H](Cc2ccccc2C)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c2ccc(N)cc2)cc1O,638.8310000000002,3.926640000000002,5.0,7.0
39,CHEMBL3670874,COC(=O)N[C@H](C(=O)NCCCCC(C(N)=O)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1)C(c1ccccc1)c1ccccc1,1.08,nM,8.97,"{'bei': '14.06', 'le': '0.27', 'lle': '5.36', 'sei': '5.16'}",-1,CHEMBL3670874,3.61,3.61,7,4,637.8,637.8,1,173.92,45,-0.68,COC(=O)N[C@H](C(=O)NCCCCC(C(N)=O)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1)C(c1ccccc1)c1ccccc1,637.8030000000002,3.612600000000003,4.0,7.0
40,CHEMBL3670871,COC(=O)N[C@H](C(=O)NCCCC[C@@H](CO)N(Cc1cccnc1)S(=O)(=O)c1ccc(N)cc1)C(c1ccccc1)c1ccccc1,1.007,nM,9.0,"{'bei': '13.64', 'le': '0.26', 'lle': '4.94', 'sei': '5.49'}",-1,CHEMBL3670871,3.35,4.06,8,4,659.81,659.81,1,163.95,47,-0.78,COC(=O)N[C@H](C(=O)NCCCC[C@@H](CO)N(Cc1cccnc1)S(=O)(=O)c1ccc(N)cc1)C(c1ccccc1)c1ccccc1,659.8090000000002,4.058800000000003,4.0,8.0
41,CHEMBL3670880,Cc1ncccc1C(=O)N[C@@H](Cc1ccccc1Br)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1,0.58,nM,9.24,"{'bei': '13.41', 'le': '0.29', 'lle': '5.17', 'sei': '5.97'}",-1,CHEMBL3670880,3.51,4.07,7,4,688.69,688.69,1,154.72,44,-0.94,Cc1ncccc1C(=O)N[C@@H](Cc1ccccc1Br)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1,688.6890000000002,4.070120000000003,4.0,7.0
42,CHEMBL3670881,Cc1ccc(C(=O)N[C@@H](Cc2ccccc2Br)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c2ccc(N)cc2)cn1,0.567,nM,9.25,"{'bei': '13.43', 'le': '0.29', 'lle': '5.18', 'sei': '5.98'}",-1,CHEMBL3670881,3.51,4.07,7,4,688.69,688.69,1,154.72,44,-1.02,Cc1ccc(C(=O)N[C@@H](Cc2ccccc2Br)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c2ccc(N)cc2)cn1,688.6890000000002,4.070120000000003,4.0,7.0
